user_id,age_group,activity_level,preferred_categories,like_probability,comment_probability,share_probability,session_length,videos_per_session,join_date
user_000000,young_adult,high,"['News & Politics', 'Sports', 'Entertainment']",0.2903582220520706,0.2449776297500338,0.0008536269277487512,4.341337975044689,4,2023-12-06
user_000001,young_adult,high,"['People & Blogs', 'News', 'Science & Technology']",0.30370910776081883,0.03944634995903725,0.09251962367167695,2.179632642592645,9,2020-10-13
user_000002,teen,low,"['Comedy', 'People & Blogs', 'Entertainment']",0.0906509223633802,0.01694944731009339,0.10252315789834719,3.015195941241738,6,2023-11-19
user_000003,adult,medium,"['Travel & Events', 'Howto & Style', 'Sports']",0.15008792252617756,0.009741159410047329,0.007268488695117289,10.26511352320064,6,2020-11-28
user_000004,young_adult,high,"['Education', 'Autos & Vehicles', 'Travel & Events']",0.5632918972575175,0.42414015236766456,0.001918857513428708,3.8221676050459346,4,2023-12-10
user_000005,young_adult,medium,"['Autos & Vehicles', 'Pets & Animals', 'Travel & Events']",0.1508645930947265,0.053703909892133014,0.0447020344253528,2.960354630434161,3,2023-09-12
user_000006,senior,low,"['Comedy', 'Pets & Animals', 'People & Blogs']",0.18237478971562504,0.15693758264087976,0.00684660888415127,9.905324821458523,1,2020-08-22
user_000007,adult,medium,"['Pets & Animals', 'Sports', 'Science & Technology']",0.2831515846106786,0.32624199226557504,0.0801942493859032,12.653830854698741,5,2022-07-31
user_000008,young_adult,high,"['Travel & Events', 'Sports', 'Education']",0.14905427036129798,0.03552534750182168,0.07520619217409291,9.308739806015936,8,2023-03-27
user_000009,adult,high,"['Sports', 'Entertainment', 'Science & Technology']",0.1408897244622979,0.07963165447312538,0.018528074542557022,8.006059660697579,5,2022-06-28
user_000010,teen,low,"['Travel & Events', 'News', 'Howto & Style']",0.15937752033309405,0.19505808877352976,0.006040694253819446,43.183317007492384,7,2021-06-03
user_000011,adult,low,"['Science & Technology', 'Entertainment', 'News']",0.19698950818076782,0.007840131801733818,0.037420714022899045,7.465056958379552,3,2022-05-05
user_000012,senior,medium,"['Pets & Animals', 'Comedy', 'Entertainment']",0.1784548403649612,0.0029540286868903957,0.047969340364203104,10.612302188080447,7,2023-02-07
user_000013,young_adult,high,"['Education', 'Science & Technology', 'Sports']",0.2869506083417734,0.001246113000584046,0.004507855325701788,6.487368286534836,7,2023-02-26
user_000014,teen,medium,"['Science & Technology', 'News', 'Entertainment']",0.1493174240876574,0.18492861686661635,0.05521045189128125,5.379692490978078,7,2021-04-27
user_000015,young_adult,low,"['Entertainment', 'Music', 'Comedy']",0.2694159368841833,0.2804989628273984,0.14485335485618042,7.482690357498777,9,2021-02-14
user_000016,senior,high,"['News', 'People & Blogs', 'News & Politics']",0.40049901620089423,0.0852864619037632,0.0034586288547006163,39.83257180304911,4,2021-08-23
user_000017,adult,medium,"['Pets & Animals', 'Education', 'Sports']",0.05981457144040038,0.15003783458499279,0.173196317696626,10.099222908128588,6,2022-09-07
user_000018,adult,low,"['Comedy', 'Howto & Style', 'News & Politics']",0.21589001500869165,0.1007912293447069,0.04166742664801592,36.98744250286394,6,2022-02-03
user_000019,adult,medium,"['People & Blogs', 'Nonprofits & Activism', 'News']",0.4702793594761132,0.014315338192471846,0.009752384114016164,12.033245469293353,5,2020-09-03
user_000020,young_adult,low,"['Education', 'Pets & Animals', 'Science & Technology']",0.23743028654425277,0.21391700571573022,0.0686853139346226,4.2747266706835605,5,2021-01-03
user_000021,adult,high,"['Pets & Animals', 'Nonprofits & Activism', 'Music']",0.13488356703928087,0.24880208802985085,0.05473010900966051,32.45790889040293,5,2021-06-14
user_000022,adult,medium,"['Autos & Vehicles', 'Pets & Animals', 'People & Blogs']",0.18419668745300458,0.06593117660988672,0.025423951027048964,9.368231940165044,6,2023-01-28
