user_id,video_id,interaction_types,timestamp,watch_time_seconds,watch_time_ratio,engagement_strength,device_type,session_id
user_000000,mx7Yv0zAtAk,view,2024-12-14 01:05:05,15.2,0.124,0.649,tablet,session_7236718
user_000000,i1U7pMyHA4k,view,2023-09-29 16:19:58,81.2,0.531,0.812,desktop,session_8656631
user_000000,OiS5rleK-F0,view,2024-11-21 10:43:31,91.1,0.412,0.465,mobile,session_4604483
user_000000,ySy2dIJ889c,view,2023-12-01 10:47:01,85.2,0.592,0.837,mobile,session_1698673
user_000000,iHN8A0ZLDU0,"view,comment",2024-06-17 06:47:26,71.1,0.327,1.031,desktop,session_5683528
user_000000,LTj2z-GMX8U,"view,like,comment",2025-04-10 06:02:52,46.4,0.203,1.281,mobile,session_8362521
user_000000,d9ZKYP2EK5A,view,2023-11-22 16:24:49,63.8,0.229,0.391,mobile,session_4005103
user_000000,l9uLXRQUgaE,"view,like",2024-12-13 09:20:11,130.5,0.498,1.099,mobile,session_4303333
user_000000,JKq8DBJkN4g,"view,comment",2024-03-27 12:58:42,70.9,0.432,1.073,mobile,session_9050453
user_000000,vOR4lA-aOfI,"view,comment",2024-04-21 20:19:27,67.0,0.399,1.059,tablet,session_2526754
user_000000,mW-aDFm2w_k,"view,comment",2024-10-29 09:52:49,33.5,0.202,0.981,tablet,session_2716313
user_000000,y0eQ6TPsPY8,"view,like",2023-11-29 13:52:50,19.8,0.135,0.954,mobile,session_8186007
user_000000,Pgbfbsf40Ws,"view,comment",2023-07-05 21:10:28,107.4,0.61,1.144,desktop,session_1275321
user_000000,48oHOsvSshw,view,2024-12-17 23:51:03,270.4,0.638,0.555,desktop,session_6838429
user_000000,FTwDVMUysfk,"view,like",2023-06-21 22:03:00,188.7,0.444,1.078,mobile,session_9541387
user_000000,E9WhvBtLXvs,view,2024-06-30 06:13:59,53.0,0.373,0.749,mobile,session_8933296
user_000000,sKEJysz0DCE,view,2024-05-22 00:59:42,128.0,0.615,0.846,mobile,session_7464141
user_000000,mMeDsvxz5BA,"view,like,comment",2025-02-28 04:34:34,54.1,0.368,1.347,desktop,session_7897498
user_000000,1sdTxz94FFw,view,2025-02-13 22:08:32,99.5,0.348,0.439,mobile,session_1334714
user_000000,EdIjwvd-XYw,"view,comment",2024-03-04 20:33:37,142.9,0.655,1.162,mobile,session_5687862
user_000000,kf77KbTzc_w,view,2025-01-18 21:15:45,98.3,0.298,0.719,mobile,session_9847561
user_000000,yJE0HDRzqSY,view,2023-08-23 19:00:58,44.7,0.274,0.71,desktop,session_9004235
user_000000,BSaH497AOPY,"view,comment",2024-09-09 01:35:56,182.1,0.445,1.078,desktop,session_7210073
user_000000,YomQcvtQA-M,view,2024-07-23 21:57:00,76.0,0.266,0.406,mobile,session_4933403
user_000000,bELTBXNlDp8,"view,like",2024-09-26 22:50:16,83.8,0.563,1.125,mobile,session_3714195
user_000000,vBrDiz59eas,"view,like",2024-12-02 01:58:24,195.2,0.49,1.096,mobile,session_9862735
user_000000,wcFT49V270w,view,2024-12-13 16:28:22,184.0,0.442,0.477,mobile,session_1420947
user_000000,viq-Tn_w1MM,view,2023-12-16 23:53:00,145.2,0.502,0.801,mobile,session_5091619
user_000000,HLdt8lcSqsM,"view,like,comment",2024-09-07 19:37:42,70.4,0.288,1.315,mobile,session_2611180
user_000001,zDcakLZcr68,view,2024-01-03 18:09:20,152.3,0.622,0.849,mobile,session_1091006
user_000001,QY4cgYNUOdI,view,2025-03-23 19:44:32,152.8,0.324,0.43,mobile,session_7361286
user_000001,hE0zjQEi5MQ,"view,like,comment",2025-05-05 03:54:46,84.2,0.325,1.03,tablet,session_4542710
user_000001,8Iq_jpo5inE,view,2024-07-01 15:56:32,36.6,0.281,0.412,tablet,session_1561187
user_000001,dTDVlnvTLzM,view,2024-12-26 15:59:35,160.2,0.456,0.783,mobile,session_1862213
user_000001,yvf0HOswcPk,view,2024-04-27 22:03:53,31.4,0.171,0.368,mobile,session_1280522
user_000001,1LOX4wtfg50,view,2025-03-04 19:47:32,177.7,0.464,0.786,mobile,session_5306555
user_000001,iHN8A0ZLDU0,view,2023-08-23 03:33:49,14.6,0.067,0.327,desktop,session_1715382
user_000001,Ctexu_Rf_2M,view,2024-07-29 03:58:54,51.7,0.338,0.435,desktop,session_1665073
user_000001,WBygvBTjRMA,"view,like,share",2023-10-24 10:40:38,89.7,0.345,1.038,mobile,session_1474763
user_000001,-hZZ-11yg0I,view,2023-10-05 08:01:26,28.3,0.171,0.368,mobile,session_3460254
user_000001,YomQcvtQA-M,"view,share",2024-06-10 12:17:52,100.0,0.35,1.04,mobile,session_5535677
user_000001,E9WhvBtLXvs,view,2024-10-27 06:19:52,15.4,0.108,0.343,desktop,session_7706506
user_000001,CZcVqQluNqU,view,2024-06-27 09:28:24,61.6,0.138,0.355,desktop,session_2852251
user_000001,d9ZKYP2EK5A,view,2025-02-15 14:58:24,70.8,0.254,0.402,mobile,session_4362767
user_000001,fcPakT4ECyk,"view,like",2024-07-20 17:05:57,80.4,0.239,0.696,mobile,session_4649722
user_000001,W6qpSIoYyfk,view,2024-11-12 09:34:52,229.5,0.629,0.551,mobile,session_7117350
user_000001,uPXMOO1EiN0,view,2023-11-11 07:51:09,108.0,0.358,0.743,desktop,session_1272635
user_000001,l5FZTIbkdME,"view,share",2024-06-08 11:24:37,180.6,0.406,1.062,desktop,session_5768387
user_000001,kTQEQ-sRVcg,"view,share",2023-11-10 19:23:59,54.6,0.447,0.779,mobile,session_2449887
user_000001,9bKbhLtgcNc,view,2025-03-04 04:13:20,271.6,0.682,0.573,mobile,session_4021075
user_000001,x99NFdLvAIQ,view,2024-12-27 09:55:35,64.8,0.453,0.481,tablet,session_3196188
user_000001,X0BYjAsMxss,"view,like",2024-11-09 07:19:48,44.8,0.172,0.969,mobile,session_5469728
user_000001,Sya7CnxWBXo,"view,comment",2023-06-07 10:41:46,184.4,0.47,1.088,desktop,session_7467227
user_000001,JEjD8iXgGX0,"view,like,share",2025-02-13 22:12:54,168.1,0.451,1.08,mobile,session_2231002
user_000001,KzZ9hNuWfAY,view,2024-06-03 12:47:24,313.3,0.816,0.926,mobile,session_1160330
user_000001,MSGbQQztyYQ,"view,comment",2024-10-16 13:02:50,57.4,0.299,1.02,mobile,session_6033121
user_000001,xAJOrJ0QbJE,view,2023-08-23 03:31:06,263.1,0.585,0.834,mobile,session_7920455
user_000002,2JhLsUjRrjg,"view,share",2025-04-25 20:25:56,246.4,0.502,0.801,mobile,session_6376958
user_000002,yxucvKpCtDo,view,2023-09-14 09:56:01,166.8,0.55,0.82,mobile,session_2976942
user_000002,x99NFdLvAIQ,"view,share",2024-12-05 23:41:17,74.4,0.52,0.808,mobile,session_4989186
user_000002,HKm5Ax0EfWg,view,2023-07-16 05:26:27,84.4,0.479,0.792,mobile,session_4587719
user_000002,u1ggiYDc_JA,view,2024-12-16 18:16:16,49.6,0.277,0.711,mobile,session_5178270
user_000003,viq-Tn_w1MM,view,2023-09-22 21:17:01,73.1,0.253,0.401,mobile,session_7023103
user_000003,jbpHf7-fUao,view,2024-05-28 22:31:05,72.8,0.444,0.477,mobile,session_4004087
user_000003,cKKw3VfhMfg,view,2025-02-26 04:38:25,52.8,0.166,0.666,desktop,session_8165494
user_000003,lSSkOzo_Hwc,"view,like",2024-12-15 16:17:56,141.9,0.724,0.89,mobile,session_4871945
user_000003,PhsRrmq1YRI,view,2025-05-05 17:51:59,62.5,0.226,0.39,mobile,session_6655051
user_000003,qZt442xDsAw,view,2025-03-25 04:53:25,174.0,0.499,0.799,mobile,session_4101122
user_000003,hE0zjQEi5MQ,view,2024-12-06 10:26:45,75.1,0.29,0.716,mobile,session_9194154
user_000003,d9ZKYP2EK5A,"view,like",2023-09-02 18:48:14,171.4,0.614,1.146,mobile,session_5890243
user_000003,gOftqcLvsSE,view,2024-01-02 20:57:26,12.3,0.079,0.331,mobile,session_8545211
